Month,Herd,Year,Negative,Positives,Total,Prevalence,Lower,Upper,monthnum
February,Porcupine,2003,10,2,12,16.7,4.7,44.8,2
February,Porcupine,2004,4,0,4,0,0,49,2
March,CentralArctic,2008,10,0,10,0,0,27.8,3
March,Porcupine,1986,1,0,1,0,0,94.9,3
March,Porcupine,1987,24,1,25,4,0.2,19.5,3
March,Porcupine,1994,0,1,1,100,5.1,100,3
March,Porcupine,1997,1,0,1,0,0,94.9,3
March,Porcupine,1999,6,0,6,0,0,39,3
March,Porcupine,2001,23,6,29,20.7,9.8,38.4,3
March,Porcupine,2003,2,0,2,0,0,65.8,3
March,Porcupine,2005,8,2,10,20,5.7,51,3
March,Porcupine,2006,16,2,18,11.1,3.1,32.8,3
April,CentralArctic,1985,2,1,3,33.3,1.7,79.2,4
April,CentralArctic,2009,10,0,10,0,0,27.8,4
April,CentralArctic,2010,20,0,20,0,0,16.1,4
April,CentralArctic,2011,14,2,16,12.5,3.5,36,4
April,Porcupine,1985,28,1,29,3.4,0.2,17.2,4
April,Porcupine,1988,48,6,54,11.1,5.2,22.2,4
April,Porcupine,1989,21,6,27,22.2,10.6,40.8,4
April,Porcupine,2003,2,1,3,33.3,1.7,79.2,4
April,WesternArctic,1982,3,0,3,0,0,56.1,4
April,WesternArctic,1992,7,0,7,0,0,35.4,4
April,WesternArctic,1993,1,0,1,0,0,94.9,4
May,CentralArctic,1981,1,1,2,50,2.6,97.4,5
May,CentralArctic,1982,1,0,1,0,0,94.9,5
May,CentralArctic,1986,15,5,20,25,11.2,46.9,5
May,CentralArctic,1987,12,1,13,7.7,0.4,33.3,5
May,CentralArctic,2013,1,0,1,0,0,94.9,5
May,Porcupine,1981,1,0,1,0,0,94.9,5
May,TeshekpukLake,1981,1,0,1,0,0,94.9,5
May,TeshekpukLake,1986,12,2,14,14.3,4,39.9,5
June,CentralArctic,1985,1,0,1,0,0,94.9,6
June,CentralArctic,1993,6,1,7,14.3,0.7,51.3,6
June,CentralArctic,1994,9,3,12,25,8.9,53.2,6
June,CentralArctic,1998,14,5,19,26.3,11.8,48.8,6
June,CentralArctic,1999,14,1,15,6.7,0.3,29.8,6
June,CentralArctic,2000,13,2,15,13.3,3.7,37.9,6
June,CentralArctic,2001,3,0,3,0,0,56.1,6
June,CentralArctic,2010,2,1,3,33.3,1.7,79.2,6
June,CentralArctic,2013,2,1,3,33.3,1.7,79.2,6
June,Porcupine,1984,3,0,3,0,0,56.1,6
June,Porcupine,1985,9,0,9,0,0,29.9,6
June,Porcupine,1986,10,4,14,28.6,11.7,54.6,6
June,Porcupine,1988,3,4,7,57.1,25,84.2,6
June,Porcupine,1994,23,14,37,37.8,24.1,53.9,6
June,TeshekpukLake,1991,0,1,1,100,5.1,100,6
June,TeshekpukLake,2000,1,0,1,0,0,94.9,6
June,TeshekpukLake,2007,5,0,5,0,0,43.4,6
June,TeshekpukLake,2008,2,8,10,80,49,94.3,6
June,TeshekpukLake,2009,15,0,15,0,0,20.4,6
June,TeshekpukLake,2010,17,2,19,10.5,2.9,31.4,6
June,TeshekpukLake,2011,6,6,12,50,25.4,74.6,6
June,TeshekpukLake,2012,10,9,19,47.4,27.3,68.3,6
June,TeshekpukLake,2013,4,9,13,69.2,42.4,87.3,6
June,TeshekpukLake,2014,11,18,29,62.1,44,77.3,6
July,CentralArctic,1987,1,0,1,0,0,94.9,7
July,CentralArctic,1988,13,5,18,27.8,12.5,50.9,7
July,CentralArctic,1989,6,9,15,60,35.7,80.2,7
July,CentralArctic,1990,15,10,25,40,23.4,59.3,7
July,CentralArctic,1993,3,0,3,0,0,56.1,7
July,CentralArctic,1997,15,2,17,11.8,3.3,34.3,7
July,CentralArctic,2001,8,2,10,20,5.7,51,7
July,CentralArctic,2008,10,3,13,23.1,8.2,50.3,7
July,Porcupine,1985,6,0,6,0,0,39,7
July,Porcupine,1986,0,1,1,100,5.1,100,7
July,Porcupine,2000,0,3,3,100,43.9,100,7
July,Porcupine,2008,0,1,1,100,5.1,100,7
July,TeshekpukLake,1990,5,0,5,0,0,43.4,7
July,TeshekpukLake,2000,7,0,7,0,0,35.4,7
July,TeshekpukLake,2001,9,4,13,30.8,12.7,57.6,7
July,TeshekpukLake,2005,14,12,26,46.2,28.8,64.5,7
July,TeshekpukLake,2006,6,7,13,53.8,29.1,76.8,7
July,TeshekpukLake,2008,9,3,12,25,8.9,53.2,7
July,TeshekpukLake,2011,1,0,1,0,0,94.9,7
August,CentralArctic,1996,3,4,7,57.1,25,84.2,8
August,Porcupine,1981,1,0,1,0,0,94.9,8
August,Porcupine,1994,1,0,1,0,0,94.9,8
August,WesternArctic,1986,15,12,27,44.4,27.6,62.7,8
September,CentralArctic,1988,1,1,2,50,2.6,97.4,9
September,Porcupine,1981,2,0,2,0,0,65.8,9
September,Porcupine,1987,4,0,4,0,0,49,9
September,Porcupine,1988,1,1,2,50,2.6,97.4,9
September,Porcupine,1989,5,4,9,44.4,18.9,73.3,9
September,Porcupine,1994,1,0,1,0,0,94.9,9
September,TeshekpukLake,2002,7,5,12,41.7,19.3,68,9
September,TeshekpukLake,2009,1,0,1,0,0,94.9,9
September,TeshekpukLake,2011,1,0,1,0,0,94.9,9
September,WesternArctic,1986,0,2,2,100,34.2,100,9
September,WesternArctic,1994,0,1,1,100,5.1,100,9
September,WesternArctic,1995,1,0,1,0,0,94.9,9
September,WesternArctic,1996,21,23,44,52.3,37.9,66.2,9
September,WesternArctic,1998,1,3,4,75,30.1,98.7,9
September,WesternArctic,1999,11,29,40,72.5,57.2,83.9,9
September,WesternArctic,2000,24,49,73,67.1,55.7,76.8,9
September,WesternArctic,2001,33,43,76,56.6,45.4,67.1,9
September,WesternArctic,2002,4,2,6,33.3,9.7,70,9
September,WesternArctic,2004,35,23,58,39.7,28.1,52.5,9
September,WesternArctic,2005,13,18,31,58.1,40.8,73.6,9
September,WesternArctic,2007,47,9,56,16.1,8.7,27.8,9
September,WesternArctic,2008,39,33,72,45.8,34.8,57.3,9
September,WesternArctic,2009,17,6,23,26.1,12.5,46.5,9
September,WesternArctic,2010,41,17,58,29.3,19.2,42,9
September,WesternArctic,2011,16,5,21,23.8,10.6,45.1,9
September,WesternArctic,2012,12,15,27,55.6,37.3,72.4,9
September,WesternArctic,2013,10,6,16,37.5,18.5,61.4,9
October,CentralArctic,1986,6,0,6,0,0,39,10
October,CentralArctic,1987,2,0,2,0,0,65.8,10
October,CentralArctic,1988,3,1,4,25,1.3,69.9,10
October,CentralArctic,1990,21,5,26,19.2,8.5,37.9,10
October,Porcupine,1981,1,0,1,0,0,94.9,10
October,Porcupine,1986,2,0,2,0,0,65.8,10
October,Porcupine,1987,1,1,2,50,2.6,97.4,10
October,Porcupine,1994,4,2,6,33.3,9.7,70,10
October,WesternArctic,1992,1,0,1,0,0,94.9,10
October,WesternArctic,1997,2,0,2,0,0,65.8,10
October,WesternArctic,2006,10,5,15,33.3,15.2,58.3,10
October,WesternArctic,2010,1,0,1,0,0,94.9,10
November,Porcupine,1993,8,4,12,33.3,13.8,60.9,11
November,Porcupine,1994,3,0,3,0,0,56.1,11
November,Porcupine,1998,5,0,5,0,0,43.4,11
