Animal Id,Lab ID,Average OD,Erysip.,sample type,UCID,Species,Herd,Area,Location,Year,Date,Month,Season,Age ,Sex,plate,
4498,Mx-414-104,0.734,positive,serum,414,muskox,,,18,1976,08-Sep-76,9,Fall,,,42,
6,Mx-414-097,0.19,negative,serum,414,muskox,,Unalakleet,22,1978,23-May-78,4,Spring,,,42,
7,Mx-414-098,0.149,negative,serum,414,muskox,,,22,1978,23-May-78,4,Spring,,,42,
27,Mx-414-099,0.33,positive,serum,414,muskox,,,22,1978,23-Aug-78,8,Spring,,,42,
73,Mx-414-100,0.138,negative,serum,414,muskox,,,22,1978,23-May-78,5,Spring,,,42,
100,Mx-414-101,0.174,negative,serum,414,muskox,,Unalakleet,22,1978,23-May-78,5,Spring,,,42,
203,Mx-414-102,0.355,positive,serum,414,muskox,,,22,1978,23-May-78,5,Spring,,,42,
210,Mx-414-103,0.134,negative,serum,414,muskox,,Unalakleet,22,1978,23-May-78,5,Spring,,,42,
4899,Mx-414-105,0.021,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4901,Mx-414-106,0.072,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4902,Mx-414-107,0.567,positive,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4903,Mx-414-108,0.235,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4904,Mx-414-109,0.121,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4905,Mx-414-110,0.034,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4906,Mx-414-111,0.197,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4907,Mx-414-112,0.073,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4910,Mx-414-113,0.07,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4912,Mx-414-114,0.115,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4913,Mx-414-115,0.108,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4914,Mx-414-116,0.063,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4915,Mx-414-117,0.074,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4916,Mx-414-118,3.088,high positive,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4917,Mx-414-119,0.1,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4918,Mx-414-120,0.165,negative,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4919,Mx-414-121,0.367,positive,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4920,Mx-414-122,0.559,positive,serum,414,muskox,,Nunivak Is.,18,1978,,,,,,42,
4921,Mx-414-123,0.417,positive,serum,414,muskox,,Nunivak Is.,18,1978,06-Mar-78,3,Spring,,,42,
4922,Mx-414-124,0.218,negative,serum,414,muskox,,Nunivak Is.,18,1978,19-Mar-78,3,Spring,,,42,
4923,Mx-414-125,0.09,negative,serum,414,muskox,,Nunivak Is.,18,1978,13-Mar-78,3,Spring,,,42,
4924,Mx-414-126,1.401,high positive,serum,414,muskox,,Nunivak Is.,18,1978,13-Mar-78,3,Spring,,,42,
206,Mx-414-127,0.102,negative,serum,414,muskox,,Unalakleet,22,1978,23-May-78,5,Spring,,,42,
1,Mx-414-128,0.514,positive,serum,414,muskox,,Nunivak Is.,,1982,,,,,,42,
24,Mx-414-129,0.047,negative,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,M,42,
25,Mx-414-130,0.178,negative,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,M,42,
61,Mx-414-131,1.764,high positive,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,M,42,
62,Mx-414-132,3.03,high positive,serum,414,muskox,,Unalakleet,22A,1982,13-Jul-82,7,Summer,,F,42,
Chatfield,Mx-414-133,0.062,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Childs,Mx-414-134,0.091,negative,serum,414,muskox,,Unalakleet,22A,1982,,,,,,43,
Comte,Mx-414-135,0.1,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Dahle,Mx-414-136,0.15,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
David,Mx-414-137,0.06,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Epperson,Mx-414-138,0.186,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
Float,Mx-414-139,0.053,negative,serum,414,muskox,,Nunivak Is.,18,1982,,,,,,43,
